"year","Affected","label"
"1950","659","INJURIES"
"1951","524","INJURIES"
"1952","1915","INJURIES"
"1953","5131","INJURIES"
"1954","715","INJURIES"
"1955","926","INJURIES"
"1956","1355","INJURIES"
"1957","1976","INJURIES"
"1958","535","INJURIES"
"1959","734","INJURIES"
"1960","737","INJURIES"
"1961","1087","INJURIES"
"1962","551","INJURIES"
"1963","538","INJURIES"
"1964","1148","INJURIES"
"1965","5197","INJURIES"
"1966","2030","INJURIES"
"1967","2144","INJURIES"
"1968","2522","INJURIES"
"1969","1311","INJURIES"
"1970","1355","INJURIES"
"1971","2723","INJURIES"
"1972","976","INJURIES"
"1973","2406","INJURIES"
"1974","6824","INJURIES"
"1975","1457","INJURIES"
"1976","1195","INJURIES"
"1977","771","INJURIES"
"1978","919","INJURIES"
"1979","3014","INJURIES"
"1980","1157","INJURIES"
"1981","798","INJURIES"
"1982","1276","INJURIES"
"1983","816","INJURIES"
"1984","2858","INJURIES"
"1985","1513","INJURIES"
"1986","915","INJURIES"
"1987","1416","INJURIES"
"1988","1030","INJURIES"
"1989","1675","INJURIES"
"1990","1824","INJURIES"
"1991","1355","INJURIES"
"1992","1754","INJURIES"
"1995","4480","INJURIES"
"1994","4158","INJURIES"
"1993","2135","INJURIES"
"1996","2712","INJURIES"
"1997","3609","INJURIES"
"1998","11160","INJURIES"
"1999","4999","INJURIES"
"2000","2778","INJURIES"
"2001","2693","INJURIES"
"2002","2813","INJURIES"
"2003","2904","INJURIES"
"2004","2378","INJURIES"
"2005","1830","INJURIES"
"2006","3354","INJURIES"
"2007","2169","INJURIES"
"2008","2685","INJURIES"
"2009","1214","INJURIES"
"2010","1842","INJURIES"
"2011","7770","INJURIES"
"1950","70","FATALITIES"
"1951","34","FATALITIES"
"1952","230","FATALITIES"
"1953","519","FATALITIES"
"1954","36","FATALITIES"
"1955","129","FATALITIES"
"1956","83","FATALITIES"
"1957","193","FATALITIES"
"1958","67","FATALITIES"
"1959","58","FATALITIES"
"1960","46","FATALITIES"
"1961","52","FATALITIES"
"1962","30","FATALITIES"
"1963","31","FATALITIES"
"1964","73","FATALITIES"
"1965","301","FATALITIES"
"1966","98","FATALITIES"
"1967","114","FATALITIES"
"1968","131","FATALITIES"
"1969","66","FATALITIES"
"1970","73","FATALITIES"
"1971","159","FATALITIES"
"1972","27","FATALITIES"
"1973","89","FATALITIES"
"1974","366","FATALITIES"
"1975","60","FATALITIES"
"1976","44","FATALITIES"
"1977","43","FATALITIES"
"1978","53","FATALITIES"
"1979","84","FATALITIES"
"1980","28","FATALITIES"
"1981","24","FATALITIES"
"1982","64","FATALITIES"
"1983","37","FATALITIES"
"1984","160","FATALITIES"
"1985","112","FATALITIES"
"1986","51","FATALITIES"
"1987","89","FATALITIES"
"1988","55","FATALITIES"
"1989","79","FATALITIES"
"1990","95","FATALITIES"
"1991","73","FATALITIES"
"1992","54","FATALITIES"
"1995","1476","FATALITIES"
"1994","342","FATALITIES"
"1993","293","FATALITIES"
"1996","519","FATALITIES"
"1997","576","FATALITIES"
"1998","674","FATALITIES"
"1999","895","FATALITIES"
"2000","472","FATALITIES"
"2001","448","FATALITIES"
"2002","485","FATALITIES"
"2003","424","FATALITIES"
"2004","334","FATALITIES"
"2005","459","FATALITIES"
"2006","586","FATALITIES"
"2007","410","FATALITIES"
"2008","474","FATALITIES"
"2009","294","FATALITIES"
"2010","412","FATALITIES"
"2011","981","FATALITIES"
